ChangeID,AssumedMilestone,Level,DateOpened,DateValidated,DateClosed,TargetClosureDate,Status,SystemsImpacted,Reason,PotentialConsequences
C00018,M2,3,2023-11-24,2023-12-05,2024-02-15,2024-01-23,Closed,"XYA, NOP, LMN",Late Engineering Input,Cost Impact
C00019,M1,3,2023-01-29,2023-02-11,2023-08-12,2023-03-30,Closed,"LMN, ABD",Calculation Revision,Cost Impact
C00020,M2,3,2023-05-18,2023-06-06,2023-11-25,2023-06-29,Closed,ABB,Design Optimization,Drawing Update Only
C00021,M1,3,2023-06-11,2023-07-10,2024-01-03,2023-07-23,Closed,"XYZ, WXY",Value Engineering Proposal,Calculation Revision Only
C00022,M2,3,2023-11-26,2023-11-28,2023-12-04,2024-01-07,Closed,IJK,Design Optimization,Documentary Only
C00023,M2,3,2023-05-07,2023-05-21,2023-06-12,2023-06-18,Closed,"XYB, NOP, PQR",Interface Misalignment,Documentary Only
C00024,M4,2,2025-10-26,2025-10-29,,2026-04-24,Validated,"CDE, YZA, LMN",Safety Enhancement,Schedule Impact
C00025,M4,3,2025-01-25,2025-02-15,2025-03-15,2025-03-26,Closed,DEF,Site Condition Variation,Material Change Required
C00026,M2,3,2023-03-23,2023-04-06,2023-06-14,2023-05-22,Closed,DEH,Regulatory Compliance Update,Design Impact
C00027,M2,3,2023-11-02,2023-11-22,2024-06-08,2023-12-14,Closed,ABB,Risk Mitigation Measure,Documentary Only
C00028,M2,3,2023-08-28,2023-08-29,2023-08-30,2023-10-09,Closed,KLM,Quality Non-Conformance,Drawing Update Only
C00029,M4,3,2025-12-16,2026-01-10,2026-02-01,2026-01-27,Closed,NOP,Site Condition Variation,Documentary Only
C00030,M1,3,2023-11-25,2023-11-29,2023-11-30,2024-01-06,Closed,VWX,Site Condition Variation,Calculation Revision Only
C00031,M4,3,2025-03-22,2025-04-15,2025-04-16,2025-05-03,Closed,"IJK, ABC",Quality Non-Conformance,Documentary Only
C00032,M2,3,2023-05-15,2023-05-24,2023-05-25,2023-06-26,Closed,KLM,Procurement Specification Change,Procedure Update Only
C00033,M2,3,2023-02-24,2023-03-16,2023-03-27,2023-04-07,Closed,"WXY, STU",Design Optimization,Calculation Revision Only
C00034,M4,3,2025-04-12,2025-04-14,2025-04-18,2025-05-24,Closed,GHP,Clash Detection Resolution,Documentary Only
C00035,M3,3,2024-10-03,2024-10-04,2025-03-23,2024-11-14,Closed,DEG,Interface Misalignment,Documentary Only
C00036,M1,3,2023-11-03,2023-11-05,2023-11-07,2023-12-15,Closed,"VWX, LMO, ABC",Client Requirement Change,Procedure Update Only
C00037,M2,3,2023-05-03,2023-05-11,2023-05-13,2023-06-14,Closed,"ABD, LMN, QRS",Site Condition Variation,Documentary Only
C00038,M3,3,2024-02-05,2024-02-10,2024-10-11,2024-04-05,Closed,"DEG, NOP",Site Condition Variation,Design Impact
C00039,M1,3,2023-03-07,2023-03-13,2023-05-21,2023-05-06,Closed,"ZAB, LMO",Vendor Deviation,Material Change Required
C00040,M2,3,2023-05-16,2023-05-25,2023-05-29,2023-07-15,Closed,"KLM, TUV, FGH",Calculation Revision,Cost Impact
C00041,M3,3,2024-12-19,2025-01-09,2025-06-28,2025-01-30,Closed,"XYZ/A, STU",Clash Detection Resolution,Documentary Only
C00042,M1,3,2023-07-11,2023-07-15,2023-08-06,2023-08-22,Closed,IJK,Client Requirement Change,Documentary Only
C00043,M3,3,2024-05-06,2024-05-07,2024-09-19,2024-06-17,Closed,LMN,Material Availability Issue,Procedure Update Only
C00044,M2,3,2023-10-29,2023-10-30,2023-12-05,2023-12-10,Closed,"NOP, LMN",Drawing Update,Documentary Only
C00045,M3,2,2024-02-06,2024-02-14,2024-06-14,2024-06-10,Closed,XYA,Site Condition Variation,Specification Clarification
C00046,M2,3,2023-02-04,2023-02-12,2023-04-17,2023-04-05,Closed,"ABD/B, VWX",Interface Misalignment,Installation Modification Required
C00047,M3,3,2024-05-22,2024-05-23,2024-05-25,2024-07-03,Closed,"ZAB, LMO",Client Requirement Change,Documentary Only
C00048,M3,2,2024-10-19,2024-11-04,2025-01-07,2025-02-21,Closed,"QRS, LMO",Client Requirement Change,Documentary Only
C00049,M4,3,2025-07-28,,,2025-09-26,Open,XYZ,Design Optimization,Equipment Replacement Required
C00050,M4,3,2025-08-09,2025-08-15,2025-08-16,2025-09-20,Closed,"YZA, FGH, IJK, XYB",Drawing Update,Documentary Only
C00051,M2,3,2023-02-20,2023-02-26,2023-03-01,2023-04-03,Closed,ABD,Client Requirement Change,Documentary Only
C00052,M3,3,2024-02-25,2024-03-14,2024-08-30,2024-04-25,Closed,"LMN, XYZ",Design Optimization,Equipment Replacement Required
C00053,M3,2,2024-08-17,2024-08-26,2025-02-04,2025-02-13,Closed,"GHP, FGH",Scope Clarification,Multi-Discipline Impact
C00054,M3,3,2024-08-24,2024-09-08,2025-02-19,2024-10-23,Closed,LMN,Vendor Deviation,Cost Impact
C00055,M4,3,2025-10-09,2025-11-05,2025-12-22,2025-12-08,Closed,"DEF, ABD, WXY",Regulatory Compliance Update,Design Impact
C00056,M3,3,2024-01-08,2024-01-14,2024-09-19,2024-03-08,Closed,"ABB, DEG",Calculation Revision,Schedule Impact
C00057,M4,3,2025-07-28,2025-08-25,2025-08-28,2025-09-08,Closed,LMO,Clash Detection Resolution,Documentary Only
C00058,M1,3,2023-07-25,2023-07-26,2023-07-30,2023-09-05,Closed,ABD,Clash Detection Resolution,Documentary Only
C00059,M1,3,2023-07-19,2023-07-22,2023-07-24,2023-08-30,Closed,PQR,Client Requirement Change,Documentary Only
C00060,M3,2,2024-08-04,2024-08-22,2025-03-02,2025-01-31,Closed,XYA/B,Design Optimization,Schedule Impact
C00061,M1,3,2023-12-05,2023-12-10,2023-12-15,2024-01-16,Closed,"XYA, LMO",Procurement Specification Change,Drawing Update Only
C00062,M4,3,2025-04-22,2025-04-24,2025-05-29,2025-06-03,Closed,"ABD, QRS",Site Condition Variation,Drawing Update Only
C00063,M2,2,2023-06-10,2023-06-12,2023-10-06,2023-10-13,Closed,"ABD, QRS, LMO, KLM",Drawing Update,Documentary Only
C00064,M3,3,2024-09-17,2024-10-07,2025-04-21,2024-10-29,Closed,ABB,Site Condition Variation,Documentary Only
C00065,M3,3,2024-02-04,2024-02-17,2024-03-30,2024-04-04,Closed,ZAB,Risk Mitigation Measure,Cost Impact
C00066,M3,3,2024-03-02,2024-03-05,2024-03-06,2024-04-13,Closed,QRS,Site Condition Variation,Drawing Update Only
C00067,M2,1,2023-01-21,2023-02-04,2024-03-31,2024-04-15,Closed,TUV,Design Optimization,Schedule Impact
C00068,M1,3,2023-12-03,2024-01-02,2024-02-01,2024-02-01,Closed,"QRS, KLM",Design Optimization,Safety Impact
C00069,M2,3,2023-05-14,2023-05-25,2023-12-07,2023-06-25,Closed,XYZ,Constructability Improvement,Documentary Only
C00070,M3,2,2024-05-02,2024-05-24,2024-06-27,2024-09-04,Closed,PQR,Interface Misalignment,Calculation Revision Only
C00071,M3,3,2024-11-26,2024-12-07,2025-02-03,2025-01-25,Closed,STU,Design Optimization,Safety Impact
C00072,M3,3,2024-02-07,2024-02-08,2024-02-09,2024-03-20,Closed,"ABC, IJK, TUV",Clash Detection Resolution,Documentary Only
C00073,M2,3,2023-09-17,2023-09-18,2023-09-19,2023-10-29,Closed,"PQR, GHP",Value Engineering Proposal,Calculation Revision Only
C00074,M2,3,2023-07-09,2023-07-24,2023-08-28,2023-09-07,Closed,STU,Design Optimization,Equipment Replacement Required
C00075,M1,2,2023-10-06,2023-10-27,2024-01-18,2024-02-08,Closed,"XYA, STU",Design Optimization,Documentary Only
C00076,M2,1,2023-09-28,2023-10-28,2024-10-21,2024-12-21,Closed,"ABC, ZAB, NOP",Site Condition Variation,Design Impact
C00077,M1,3,2023-12-06,2023-12-07,2023-12-08,2024-01-17,Closed,"DEF, GHP, PQR",Procurement Specification Change,Procedure Update Only
C00078,M4,3,2025-05-20,2025-05-21,2025-05-24,2025-07-01,Closed,"STU, TUV",Drawing Update,Documentary Only
C00079,M4,3,2025-12-18,2025-12-27,2026-01-11,2026-01-29,Closed,"WXY, PQR",Vendor Deviation,Documentary Only
C00080,M4,3,2025-01-27,2025-01-29,,2025-03-28,Validated,"ABB, WXY",Procurement Specification Change,Safety Impact
C00081,M1,3,2023-01-02,2023-01-11,2023-03-23,2023-03-03,Closed,"VWX, DEG, GHP",Vendor Deviation,Material Change Required
C00082,M4,2,2025-03-24,2025-04-11,2025-07-24,2025-07-27,Closed,"XYB, IJK, NOP",Design Optimization,Documentary Only
C00083,M2,3,2023-01-05,2023-02-03,2023-03-30,2023-03-06,Closed,"DEF, ABB",Interface Misalignment,Equipment Replacement Required
C00084,M2,3,2023-03-18,2023-03-27,2023-03-30,2023-04-29,Closed,"NOP, ABD",Procurement Specification Change,Documentary Only
C00085,M3,2,2024-03-16,2024-03-26,2024-07-06,2024-09-12,Closed,"FGH, GHP",Design Optimization,Schedule Impact
C00086,M3,3,2024-07-05,2024-07-06,2024-07-09,2024-08-16,Closed,DEH,Client Requirement Change,Documentary Only
C00087,M1,3,2023-12-16,2023-12-20,2024-07-20,2024-02-14,Closed,LMN,Design Optimization,Schedule Impact
C00088,M3,3,2024-06-30,2024-07-24,2024-12-21,2024-08-11,Closed,"DEG, NOP",Design Optimization,Documentary Only
C00089,M1,3,2023-03-21,2023-04-16,2023-09-22,2023-05-20,Closed,LMN,Drawing Update,Installation Modification Required
C00090,M4,3,2025-04-01,2025-04-03,2025-04-04,2025-05-31,Closed,FGH,Design Optimization,Installation Modification Required
C00091,M3,3,2024-07-29,2024-08-01,2024-08-12,2024-09-09,Closed,"DEH, ZAB, XYB",Design Optimization,Specification Clarification
C00092,M2,3,2023-12-26,2023-12-27,2023-12-30,2024-02-06,Closed,DEF,Client Requirement Change,Documentary Only
C00093,M1,3,2023-08-29,2023-09-08,2024-02-05,2023-10-10,Closed,"LMN, XYZ",Risk Mitigation Measure,Calculation Revision Only
C00094,M2,3,2023-04-27,2023-05-04,2023-08-27,2023-06-08,Closed,LMN,Risk Mitigation Measure,Documentary Only
C00095,M1,1,2023-07-24,2023-08-02,2024-11-14,2024-10-16,Closed,"VWX, PQR, ABB",Safety Enhancement,Installation Modification Required
C00096,M4,3,2025-06-29,2025-06-30,2025-07-30,2025-08-10,Closed,"WXY, KLM, CDE, ZAB",Regulatory Compliance Update,Documentary Only
C00097,M3,3,2024-02-29,2024-03-01,2024-03-04,2024-04-11,Closed,"PQR, BSG",Clash Detection Resolution,Procedure Update Only
C00098,M4,3,2025-02-25,2025-03-11,2025-04-13,2025-04-08,Closed,"TUV, FGH, YZA, XYB",Scope Clarification,Documentary Only
C00099,M2,3,2023-11-07,2023-11-09,2023-11-13,2023-12-19,Closed,KLM,Late Engineering Input,Calculation Revision Only
C00100,M2,2,2023-05-11,2023-06-06,2023-08-13,2023-09-13,Closed,"ABD/C, XYA, FGH",Quality Non-Conformance,Specification Clarification
C00101,M3,3,2024-10-02,2024-10-05,2024-10-19,2024-11-13,Closed,"ZAB, XYB/Z",Material Availability Issue,Drawing Update Only
C00102,M1,3,2023-12-07,2023-12-31,2024-01-23,2024-02-05,Closed,"VWX, TUV, ZAB",Procurement Specification Change,Construction Rework Required
C00103,M3,3,2024-06-02,2024-06-05,2024-06-07,2024-07-14,Closed,"KLM, STU, ZAB",Design Optimization,Documentary Only
C00104,M1,3,2023-10-11,2023-10-14,2023-10-21,2023-11-22,Closed,"GHP, XYZ, FGH, ZAB",Client Requirement Change,Documentary Only
C00105,M3,3,2024-11-11,2024-11-12,2024-11-27,2024-12-23,Closed,"QRS, STU, CDE",Drawing Update,Documentary Only
C00106,M2,3,2023-06-05,2023-06-10,2023-06-12,2023-07-17,Closed,STU,Scope Clarification,Documentary Only
C00107,M4,3,2025-11-07,2025-11-22,2026-01-15,2026-01-06,Closed,"WXY, VWX",Calculation Revision,Multi-Discipline Impact
C00108,M4,2,2025-08-15,2025-09-13,,2026-02-11,Validated,"ZAB, XYZ",Client Requirement Change,Safety Impact
C00109,M4,3,2025-03-28,2025-04-03,2025-04-06,2025-05-09,Closed,"ZAB, ABB",Clash Detection Resolution,Calculation Revision Only
C00110,M2,3,2023-02-17,2023-02-25,2023-09-06,2023-03-31,Closed,"DEG, LMN",Calculation Revision,Documentary Only
C00111,M3,3,2024-04-11,2024-04-19,2024-05-23,2024-06-10,Closed,"GHP, ABC",Scope Clarification,Safety Impact
C00112,M2,2,2023-09-01,2023-09-15,2023-11-20,2024-01-04,Closed,"TUV, DEG",Interface Misalignment,Documentary Only
C00113,M3,3,2024-11-18,2024-11-22,2024-11-25,2024-12-30,Closed,QRS,Vendor Deviation,Documentary Only
C00114,M3,3,2024-09-10,2024-09-11,2025-01-29,2024-10-22,Closed,"CDE, LMN, GHP",Vendor Deviation,Documentary Only
C00115,M3,3,2024-02-24,2024-03-01,2024-09-25,2024-04-24,Closed,"DEG, FGH",Scope Clarification,Schedule Impact
C00116,M4,3,2025-12-23,2025-12-24,2025-12-26,2026-02-03,Closed,"KLM, IJK",Site Condition Variation,Documentary Only
C00117,M2,3,2023-08-22,2023-09-13,2023-10-30,2023-10-21,Closed,GHP,Interface Misalignment,Installation Modification Required
C00118,M2,3,2023-09-29,2023-10-24,2023-11-03,2023-11-10,Closed,NOP,Client Requirement Change,Documentary Only
C00119,M1,3,2023-08-15,2023-09-01,2023-09-09,2023-09-26,Closed,TUV,Scope Clarification,Calculation Revision Only
C00120,M2,3,2023-08-07,2023-08-09,2023-08-14,2023-09-18,Closed,NOP,Design Optimization,Procedure Update Only
C00121,M1,3,2023-09-01,2023-09-03,2023-09-04,2023-10-13,Closed,IJK,Client Requirement Change,Documentary Only
C00122,M2,3,2023-09-24,2023-10-02,2023-10-08,2023-11-05,Closed,"LMO, WXY",Material Availability Issue,Documentary Only
C00123,M1,3,2023-02-09,2023-02-17,2023-04-08,2023-04-10,Closed,XYA,Scope Clarification,Schedule Impact
C00124,M4,3,2025-05-20,2025-05-24,2025-05-31,2025-07-01,Closed,"VWX, NOP, ABB",Procurement Specification Change,Documentary Only
C00125,M1,3,2023-07-16,2023-07-19,2023-08-31,2023-08-27,Closed,"XYA, GHP",Clash Detection Resolution,Documentary Only
C00126,M2,3,2023-08-01,2023-08-05,2023-08-06,2023-09-12,Closed,FGH,Site Condition Variation,Documentary Only
C00127,M3,3,2024-02-01,2024-03-01,2024-10-02,2024-04-01,Closed,"XYZ, FGH",Design Optimization,Material Change Required
C00128,M2,3,2023-10-27,2023-10-31,2023-11-02,2023-12-08,Closed,XYA,Constructability Improvement,Drawing Update Only
C00129,M1,3,2023-09-02,2023-09-06,2023-09-07,2023-10-14,Closed,ABC,Client Requirement Change,Documentary Only
C00130,M4,3,2025-10-03,2025-10-11,2025-10-20,2025-11-14,Closed,"XYB, NOP",Regulatory Compliance Update,Specification Clarification
C00131,M1,3,2023-09-07,2023-09-08,2024-02-08,2023-10-19,Closed,"LMN, PQR",Late Engineering Input,Drawing Update Only
C00132,M1,3,2023-07-19,2023-08-01,2023-08-13,2023-08-30,Closed,"VWX, ZAB",Safety Enhancement,Documentary Only
C00133,M2,3,2023-03-26,2023-04-15,2023-05-13,2023-05-25,Closed,IJK,Design Optimization,Installation Modification Required
C00134,M1,3,2023-10-01,2023-10-02,2023-10-07,2023-11-12,Closed,ABC,Site Condition Variation,Documentary Only
C00135,M1,2,2023-02-12,2023-03-12,2023-07-30,2023-08-11,Closed,"WXY, FGH",Constructability Improvement,Material Change Required
C00136,M4,3,2025-08-25,2025-09-09,2025-12-04,2025-10-06,Closed,"BSG, ABD, PQR, CDE",Scope Clarification,Documentary Only
C00137,M4,3,2025-06-17,2025-07-01,2025-07-10,2025-07-29,Closed,"VWX, DEG",Value Engineering Proposal,Documentary Only
C00138,M3,3,2024-05-09,2024-05-27,2024-11-10,2024-06-20,Closed,"ABB, LMO",Client Requirement Change,Specification Clarification
C00139,M2,3,2023-01-27,2023-01-28,2023-01-28,2023-03-10,Closed,YZA,Client Requirement Change,Documentary Only
C00140,M3,3,2024-11-29,2024-12-07,2025-01-23,2025-01-10,Closed,ABD,Regulatory Compliance Update,Documentary Only
C00141,M3,3,2024-04-12,2024-04-13,2024-04-15,2024-05-24,Closed,ABC,Design Optimization,Documentary Only
C00142,M4,3,2025-08-31,2025-09-02,2025-09-03,2025-10-12,Closed,ZAB,Material Availability Issue,Documentary Only
C00143,M3,3,2024-12-24,2024-12-25,2024-12-27,2025-02-04,Closed,PQR,Vendor Deviation,Specification Clarification
C00144,M4,3,2025-03-25,2025-04-13,2025-05-10,2025-05-24,Closed,STU,Procurement Specification Change,Design Impact
C00145,M4,2,2025-01-14,2025-01-27,2025-04-28,2025-05-19,Closed,"STU, QRS",Clash Detection Resolution,Documentary Only
C00146,M4,3,2025-07-23,2025-07-31,2025-08-09,2025-09-03,Closed,XYA,Client Requirement Change,Documentary Only
C00147,M1,3,2023-02-22,2023-03-22,2023-04-22,2023-04-23,Closed,"XYA, DEG",Constructability Improvement,Design Impact
C00148,M4,3,2025-12-17,2025-12-18,2025-12-23,2026-01-28,Closed,TUV,Constructability Improvement,Documentary Only
C00149,M2,3,2023-06-27,2023-06-30,2023-08-04,2023-08-08,Closed,"NOP, FGH",Site Condition Variation,Documentary Only
C00150,M4,3,2025-09-17,2025-09-21,2025-09-24,2025-10-29,Closed,"WXY, VWX, ABC",Interface Misalignment,Documentary Only
C00151,M1,3,2023-02-24,2023-03-07,2023-03-09,2023-04-25,Closed,FGH,Client Requirement Change,Equipment Replacement Required
C00152,M3,3,2024-08-23,2024-08-26,2024-08-29,2024-10-04,Closed,"XYA, GHP, FGH",Calculation Revision,Calculation Revision Only
C00153,M1,3,2023-11-12,2023-11-27,2023-12-23,2023-12-24,Closed,"DEH, NOP",Design Optimization,Documentary Only
C00154,M3,3,2024-08-11,2024-08-20,2024-10-27,2024-10-10,Closed,XYB,Drawing Update,Schedule Impact
C00155,M1,2,2023-06-15,2023-06-24,2024-04-10,2023-12-12,Closed,LMN,Calculation Revision,Design Impact
C00156,M1,3,2023-08-19,2023-09-08,2024-01-19,2023-09-30,Closed,"LMN, DEG",Interface Misalignment,Documentary Only
C00157,M3,3,2024-12-08,2024-12-24,2025-04-30,2025-01-19,Closed,CDE,Client Requirement Change,Drawing Update Only
C00158,M4,3,2025-06-16,2025-07-12,2025-09-13,2025-07-28,Closed,"BSG, LMO",Risk Mitigation Measure,Specification Clarification
C00159,M1,3,2023-05-13,2023-05-22,2023-06-05,2023-06-24,Closed,"VWX, PQR",Design Optimization,Specification Clarification
C00160,M4,3,2025-10-12,2025-10-13,2025-10-14,2025-12-11,Closed,"ABC, KLM",Value Engineering Proposal,Equipment Replacement Required
C00161,M3,3,2024-07-27,2024-08-19,2024-09-13,2024-09-07,Closed,"LMO, NOP",Late Engineering Input,Documentary Only
C00162,M3,3,2024-08-31,2024-09-15,2024-11-10,2024-10-30,Closed,"WXY, XYA",Design Optimization,Equipment Replacement Required
C00163,M4,2,2025-01-09,2025-01-19,,2025-07-08,Validated,"ABB, STU, LMN",Scope Clarification,Design Impact
C00164,M3,3,2024-12-05,2024-12-14,2024-12-20,2025-01-16,Closed,QRS,Vendor Deviation,Specification Clarification
C00165,M4,3,2025-09-29,2025-10-08,2025-10-10,2025-11-10,Closed,YZA,Safety Enhancement,Documentary Only
C00166,M4,3,2025-06-19,2025-06-29,2025-07-17,2025-07-31,Closed,"YZA, XYA",Late Engineering Input,Documentary Only
C00167,M2,3,2023-05-09,2023-05-16,2023-09-12,2023-06-20,Closed,LMN,Regulatory Compliance Update,Documentary Only
C00168,M2,3,2023-06-11,2023-07-06,2023-08-24,2023-08-10,Closed,"DEF, XYB",Interface Misalignment,Construction Rework Required
C00169,M1,3,2023-12-20,2024-01-08,2024-03-10,2024-01-31,Closed,"BSG, XYZ/B, LMO",Client Requirement Change,Calculation Revision Only
C00170,M2,3,2023-09-26,2023-09-28,2023-09-29,2023-11-07,Closed,"TUV, STU",Clash Detection Resolution,Documentary Only
C00171,M1,2,2023-04-27,2023-05-20,2023-10-04,2023-10-24,Closed,"YZA, BSG, STU",Client Requirement Change,Schedule Impact
C00172,M1,3,2023-10-01,2023-10-06,2023-10-09,2023-11-12,Closed,"GHP, PQR",Design Optimization,Documentary Only
C00173,M3,3,2024-05-29,2024-05-30,2024-06-03,2024-07-10,Closed,XYA,Constructability Improvement,Documentary Only
C00174,M3,3,2024-01-07,2024-01-18,2024-01-30,2024-02-18,Closed,"QRS, STU, LMO",Risk Mitigation Measure,Documentary Only
C00175,M2,3,2023-04-05,2023-04-06,2023-04-10,2023-05-17,Closed,ABD,Design Optimization,Documentary Only
C00176,M1,3,2023-02-03,2023-02-06,2023-08-08,2023-04-04,Closed,CDE,Site Condition Variation,Cost Impact
C00177,M2,2,2023-10-23,2023-10-28,2024-03-03,2024-02-25,Closed,WXY,Calculation Revision,Procedure Update Only
C00178,M1,3,2023-03-18,2023-03-23,2023-03-31,2023-04-29,Closed,DEH,Site Condition Variation,Calculation Revision Only
C00179,M3,3,2024-02-13,2024-03-02,2024-08-13,2024-04-13,Closed,LMN,Material Availability Issue,Safety Impact
C00180,M2,3,2023-08-02,2023-08-10,2023-08-22,2023-09-13,Closed,TUV,Design Optimization,Documentary Only
C00181,M2,3,2023-09-25,2023-10-23,2024-02-13,2023-11-06,Closed,"CDE, IJK",Late Engineering Input,Documentary Only
C00182,M4,3,2025-10-29,2025-10-30,2025-11-07,2025-12-28,Closed,FGH,Constructability Improvement,Design Impact
C00183,M3,3,2024-11-08,2024-11-09,2024-11-11,2024-12-20,Closed,XYB,Safety Enhancement,Documentary Only
C00184,M2,3,2023-05-16,2023-05-19,2023-05-26,2023-06-27,Closed,"ZAB, ABB",Client Requirement Change,Documentary Only
C00185,M4,3,2025-10-10,2025-10-30,,2025-11-21,Validated,"ABB, BSG",Late Engineering Input,Documentary Only
C00186,M1,3,2023-08-29,2023-09-03,2023-09-10,2023-10-10,Closed,"STU, ABD",Site Condition Variation,Documentary Only
C00187,M1,3,2023-12-26,2024-01-03,2024-03-18,2024-02-24,Closed,"IJK, ABB",Client Requirement Change,Design Impact
C00188,M2,3,2023-05-16,2023-06-04,2023-06-22,2023-06-27,Closed,DEH,Clash Detection Resolution,Documentary Only
C00189,M2,3,2023-12-05,2023-12-06,2023-12-08,2024-01-16,Closed,"DEH, XYZ, FGH",Client Requirement Change,Drawing Update Only
C00190,M1,3,2023-05-17,2023-05-20,2023-05-21,2023-06-28,Closed,"GHP, ABB/D",Clash Detection Resolution,Documentary Only
C00191,M3,3,2024-10-18,2024-10-23,2024-11-01,2024-11-29,Closed,"STU, IJK, DEF",Constructability Improvement,Calculation Revision Only
C00192,M2,2,2023-12-25,2024-01-12,2024-07-18,2024-04-28,Closed,CDE,Procurement Specification Change,Drawing Update Only
C00193,M1,3,2023-09-10,2023-09-11,2023-09-12,2023-10-22,Closed,IJK,Vendor Deviation,Calculation Revision Only
C00194,M2,2,2023-06-15,2023-06-18,2023-11-23,2023-12-12,Closed,"TUV, PQR",Late Engineering Input,Cost Impact
C00195,M3,3,2024-04-27,2024-05-16,2024-07-12,2024-06-26,Closed,ZAB,Design Optimization,Equipment Replacement Required
C00196,M2,2,2023-01-11,2023-01-13,2023-09-17,2023-05-16,Closed,"DEG, ZAB",Clash Detection Resolution,Specification Clarification
C00197,M2,2,2023-03-31,2023-04-21,2023-10-10,2023-09-27,Closed,LMO,Procurement Specification Change,Schedule Impact
C00198,M2,3,2023-08-15,2023-08-19,2023-08-20,2023-09-26,Closed,PQR,Drawing Update,Procedure Update Only
C00199,M3,3,2024-02-16,2024-02-27,2024-03-10,2024-03-29,Closed,"LMO, YZA",Constructability Improvement,Procedure Update Only
C00200,M1,2,2023-12-10,2023-12-26,2024-07-01,2024-06-07,Closed,"DEF, BSG, VWX, FGH",Late Engineering Input,Construction Rework Required
C00201,M1,3,2023-05-28,2023-05-30,2023-07-05,2023-07-09,Closed,"ZAB, CDE",Drawing Update,Drawing Update Only
C00202,M3,3,2024-08-20,2024-08-31,2025-03-27,2024-10-01,Closed,ABB,Regulatory Compliance Update,Procedure Update Only
C00203,M2,3,2023-03-01,2023-03-29,2023-10-12,2023-04-30,Closed,DEG,Material Availability Issue,Installation Modification Required
C00204,M4,3,2025-09-21,2025-09-22,2025-09-23,2025-11-02,Closed,"ABC, ZAB, NOP",Design Optimization,Documentary Only
C00205,M3,3,2024-09-22,2024-10-17,2024-10-25,2024-11-03,Closed,"YZA, TUV, DEG, LMO",Risk Mitigation Measure,Documentary Only
C00206,M2,3,2023-01-27,2023-02-14,2023-09-21,2023-03-28,Closed,XYZ,Drawing Update,Safety Impact
C00207,M1,3,2023-03-09,2023-03-15,2023-03-16,2023-04-20,Closed,STU,Design Optimization,Calculation Revision Only
C00208,M3,3,2024-09-05,2024-09-07,2024-09-11,2024-10-17,Closed,DEF,Vendor Deviation,Documentary Only
C00209,M3,3,2024-12-29,2024-12-30,2025-06-02,2025-02-27,Closed,"BSG, STU",Scope Clarification,Schedule Impact
C00210,M3,2,2024-10-09,2024-10-13,2024-11-11,2025-02-11,Closed,"FGH, ABB, LMN",Design Optimization,Documentary Only
C00211,M4,3,2025-11-28,2025-12-15,2026-01-10,2026-01-09,Closed,"GHP, LMO",Quality Non-Conformance,Drawing Update Only
